Encoder Times,Decoder Times,Key Generation Times
0.000020,0.020067,0.052839
0.000036,0.041370,0.052839
0.000038,0.062625,0.052839
0.000064,0.082213,0.052839
0.000056,0.102703,0.052839
0.000063,0.121694,0.052839
0.000054,0.142237,0.052839
0.000067,0.162496,0.052839
0.000067,0.182714,0.052839
0.000072,0.202257,0.052839
0.000073,0.223135,0.052839
0.000173,0.243978,0.052839
0.000071,0.265491,0.052839
0.000074,0.281763,0.052839
0.000091,0.302940,0.052839
0.000092,0.324566,0.052839
0.000090,0.342604,0.052839
0.000085,0.362611,0.052839
0.000093,0.383336,0.052839
0.000109,0.402383,0.052839
0.000121,0.422106,0.052839
0.000133,0.448339,0.052839
0.000114,0.487181,0.052839
0.000134,0.484512,0.052839
0.000104,0.503166,0.052839
0.000115,0.525476,0.052839
0.000111,0.544999,0.052839
0.000137,0.563512,0.052839
0.000137,0.583516,0.052839
0.000226,0.617216,0.052839
0.000131,0.626229,0.052839
0.000132,0.648351,0.052839
0.000154,0.662722,0.052839
0.000144,0.696751,0.052839
0.000141,0.706049,0.052839
0.000165,0.727636,0.052839
0.000153,0.746827,0.052839
0.000185,0.769278,0.052839
0.000150,0.783450,0.052839
0.000181,0.810572,0.052839
0.000276,0.824771,0.052839
0.000154,0.846826,0.052839
0.000156,0.864551,0.052839
0.000166,0.886296,0.052839
0.000173,0.912677,0.052839
0.000160,0.933921,0.052839
0.000180,1.169933,0.052839
0.000244,1.221718,0.052839
0.000231,1.281252,0.052839
0.000216,1.261608,0.052839
0.000242,1.260187,0.052839
0.000236,1.432882,0.052839
0.000313,1.386606,0.052839
0.000210,1.388871,0.052839
0.000245,1.494146,0.052839
0.000244,1.390771,0.052839
0.000217,1.466240,0.052839
0.000223,1.455028,0.052839
0.000233,1.418212,0.052839
0.000245,1.449460,0.052839
0.000243,1.587866,0.052839
0.000244,1.561627,0.052839
0.005055,1.750652,0.052839
0.000301,1.750877,0.052839
0.000268,1.607168,0.052839
0.000266,1.582160,0.052839
0.000277,1.676685,0.052839
0.000266,1.675545,0.052839
0.000252,1.807430,0.052839
0.000281,1.830288,0.052839
0.000298,1.776519,0.052839
0.000265,1.733545,0.052839
0.000277,1.823804,0.052839
0.000270,1.804178,0.052839
0.000267,1.848373,0.052839
0.000304,1.882827,0.052839
0.000288,1.865517,0.052839
0.000284,1.908428,0.052839
0.000309,2.042424,0.052839
0.000281,1.916321,0.052839
0.000330,1.990633,0.052839
0.000299,1.996755,0.052839
0.000319,2.014672,0.052839
0.000315,2.040788,0.052839
0.000310,2.070239,0.052839
0.000338,2.095666,0.052839
0.000344,2.110573,0.052839
0.000311,2.133721,0.052839
0.000325,2.339233,0.052839
0.000375,2.306496,0.052839
0.000341,2.306974,0.052839
0.000334,2.236842,0.052839
0.000348,2.273886,0.052839
0.000359,2.289961,0.052839
0.000376,2.308082,0.052839
0.000366,2.336524,0.052839
0.000370,2.352668,0.052839
0.000387,2.410182,0.052839
0.000364,2.411733,0.052839
0.000353,2.423547,0.052839
