Encoder Times,Decoder Times,Key Generation Times
0.000016,0.004422,0.009685
0.000019,0.008906,0.009685
0.000042,0.013406,0.009685
0.000040,0.018379,0.009685
0.000034,0.022426,0.009685
0.000153,0.026552,0.009685
0.000041,0.031286,0.009685
0.000058,0.035399,0.009685
0.000043,0.039918,0.009685
0.000053,0.046929,0.009685
0.000075,0.048930,0.009685
0.000089,0.053272,0.009685
0.000059,0.057509,0.009685
0.000056,0.063092,0.009685
0.000060,0.068400,0.009685
0.000066,0.071256,0.009685
0.000070,0.075068,0.009685
0.000066,0.080031,0.009685
0.000070,0.084394,0.009685
0.000075,0.088845,0.009685
0.000079,0.093100,0.009685
0.000074,0.097062,0.009685
0.000085,0.102183,0.009685
0.000085,0.106759,0.009685
0.000086,0.110882,0.009685
0.000088,0.114107,0.009685
0.000093,0.119198,0.009685
0.000091,0.125127,0.009685
0.000092,0.130089,0.009685
0.000099,0.132449,0.009685
0.000099,0.136846,0.009685
0.000131,0.142354,0.009685
0.000098,0.146276,0.009685
0.000107,0.150560,0.009685
0.000111,0.154990,0.009685
0.000109,0.159516,0.009685
0.000112,0.163550,0.009685
0.000112,0.167687,0.009685
0.000121,0.174627,0.009685
0.000121,0.178244,0.009685
0.000128,0.182318,0.009685
0.000142,0.185285,0.009685
0.000125,0.190529,0.009685
0.000132,0.194809,0.009685
0.000136,0.198094,0.009685
0.000141,0.203022,0.009685
0.000135,0.207262,0.009685
0.000173,0.211861,0.009685
0.000128,0.217581,0.009685
0.000147,0.220938,0.009685
0.000159,0.224613,0.009685
0.000153,0.231008,0.009685
0.000145,0.235029,0.009685
0.000150,0.238387,0.009685
0.000147,0.243753,0.009685
0.000152,0.247921,0.009685
0.000156,0.252925,0.009685
0.000318,0.256886,0.009685
0.000157,0.259764,0.009685
0.000195,0.266153,0.009685
0.000236,0.270312,0.009685
0.000175,0.275414,0.009685
0.000175,0.277067,0.009685
0.000177,0.282592,0.009685
0.000175,0.287726,0.009685
0.000172,0.290583,0.009685
0.000186,0.295773,0.009685
0.000191,0.301749,0.009685
0.000186,0.303901,0.009685
0.000195,0.309210,0.009685
0.000184,0.314130,0.009685
0.000207,0.315517,0.009685
0.000189,0.322498,0.009685
0.000209,0.326156,0.009685
0.000214,0.330531,0.009685
0.000208,0.335944,0.009685
0.000197,0.339853,0.009685
0.000202,0.345779,0.009685
0.000215,0.349640,0.009685
0.000212,0.353293,0.009685
0.000211,0.358188,0.009685
0.000229,0.362830,0.009685
0.000213,0.365823,0.009685
0.000222,0.370501,0.009685
0.000224,0.376519,0.009685
0.000224,0.383344,0.009685
0.000240,0.384632,0.009685
0.000233,0.390009,0.009685
0.000235,0.395891,0.009685
0.000244,0.399981,0.009685
0.000246,0.401315,0.009685
0.000234,0.407096,0.009685
0.000274,0.410589,0.009685
0.000251,0.412742,0.009685
0.000235,0.421280,0.009685
0.000251,0.425520,0.009685
0.000247,0.429461,0.009685
0.000253,0.432545,0.009685
0.000310,0.436502,0.009685
0.000256,0.441039,0.009685
