Encoder Times,Decoder Times,Key Generation Times
0.001145,0.052716,0.202728
0.000607,0.101259,0.202728
0.000776,0.120562,0.202728
0.000846,0.091035,0.202728
0.001100,0.112525,0.202728
0.000947,0.144104,0.202728
0.001189,0.191622,0.202728
0.001318,0.176953,0.202728
0.001556,0.208581,0.202728
0.001717,0.264146,0.202728
0.002007,0.258302,0.202728
0.001889,0.250906,0.202728
0.002139,0.383775,0.202728
0.002542,0.459504,0.202728
0.002401,0.337481,0.202728
0.002595,0.349532,0.202728
0.002886,0.334296,0.202728
0.003623,0.345662,0.202728
0.003108,0.388651,0.202728
0.003150,0.418305,0.202728
0.003367,0.408239,0.202728
0.003370,0.641632,0.202728
0.003942,0.558361,0.202728
0.004211,0.466253,0.202728
0.003889,0.500955,0.202728
0.004232,0.545875,0.202728
0.004445,0.524358,0.202728
0.004618,0.531672,0.202728
0.004924,0.586759,0.202728
0.004912,0.605052,0.202728
0.005029,0.705087,0.202728
0.005355,0.690048,0.202728
0.005231,0.637515,0.202728
0.005938,0.822331,0.202728
0.005516,0.701332,0.202728
0.005582,0.711830,0.202728
0.005725,0.723330,0.202728
0.006266,0.748658,0.202728
0.005977,0.801396,0.202728
0.007332,1.091342,0.202728
0.008886,1.154802,0.202728
0.008886,1.140077,0.202728
0.009225,1.212803,0.202728
0.009237,1.204821,0.202728
0.009240,1.243096,0.202728
0.009843,1.264925,0.202728
0.009752,1.305448,0.202728
0.009466,1.296399,0.202728
0.009844,1.309296,0.202728
0.009822,1.319065,0.202728
0.010347,1.347285,0.202728
0.010524,1.400868,0.202728
0.010077,1.418084,0.202728
0.010739,1.487199,0.202728
0.010386,1.479506,0.202728
0.011529,1.578013,0.202728
0.011458,1.480213,0.202728
0.011667,1.600944,0.202728
0.012566,1.653304,0.202728
0.012151,1.751683,0.202728
0.012234,1.655686,0.202728
0.012811,1.747177,0.202728
0.012651,1.643442,0.202728
0.012481,1.635574,0.202728
0.012493,1.651548,0.202728
0.013100,1.748787,0.202728
0.014665,1.849246,0.202728
0.013955,1.675869,0.202728
0.013682,1.794776,0.202728
0.013459,1.780082,0.202728
0.013618,1.818898,0.202728
0.013658,1.845394,0.202728
0.014790,1.901273,0.202728
0.014710,2.016099,0.202728
0.014605,1.901588,0.202728
0.015378,1.968543,0.202728
0.015191,2.051797,0.202728
0.015779,2.585969,0.202728
0.015768,2.595856,0.202728
0.016013,2.454420,0.202728
0.017420,2.360342,0.202728
0.015573,2.427513,0.202728
0.016427,2.206086,0.202728
0.016580,2.227953,0.202728
0.016753,2.156741,0.202728
0.017501,2.266076,0.202728
0.016801,2.405810,0.202728
0.017344,2.258204,0.202728
0.019460,2.426711,0.202728
0.016665,2.403085,0.202728
0.018774,2.377044,0.202728
0.017499,2.312321,0.202728
0.018021,2.378868,0.202728
0.020403,2.706895,0.202728
0.018903,2.684966,0.202728
0.018892,2.669121,0.202728
0.018594,2.682449,0.202728
0.019008,2.499967,0.202728
0.019834,2.593376,0.202728
0.020521,2.685004,0.202728
