Encoder Times,Decoder Times,Key Generation Times
0.000001,0.067698,0.032477
0.000001,0.132674,0.032477
0.000000,0.198301,0.032477
0.000001,0.264359,0.032477
0.000001,0.337257,0.032477
0.000001,0.394314,0.032477
0.000001,0.467116,0.032477
0.000001,0.536509,0.032477
0.000003,0.614160,0.032477
0.000001,0.668771,0.032477
0.000002,0.736395,0.032477
0.000002,0.807281,0.032477
0.000001,0.863848,0.032477
0.000001,0.932116,0.032477
0.000001,1.026371,0.032477
0.000001,1.070551,0.032477
0.000001,1.135518,0.032477
0.000001,1.194322,0.032477
0.000001,1.258738,0.032477
0.000001,1.336818,0.032477
0.000001,1.397554,0.032477
0.000001,1.476098,0.032477
0.000001,1.541910,0.032477
0.000001,1.609423,0.032477
0.000002,1.666499,0.032477
0.000002,1.728755,0.032477
0.000001,1.794758,0.032477
0.000001,1.870359,0.032477
0.000002,1.935533,0.032477
0.000002,2.063357,0.032477
0.000002,2.193512,0.032477
0.000001,2.212745,0.032477
0.000001,2.229355,0.032477
0.000002,2.254681,0.032477
0.000001,2.318642,0.032477
0.000002,2.399558,0.032477
0.000001,2.449825,0.032477
0.000002,2.506447,0.032477
0.000002,2.585054,0.032477
0.000002,2.665586,0.032477
0.000002,2.745087,0.032477
0.000002,2.791844,0.032477
0.000002,2.852981,0.032477
0.000002,2.944277,0.032477
0.000002,2.991904,0.032477
0.000002,3.099398,0.032477
0.000002,3.200307,0.032477
0.000002,3.439299,0.032477
0.000005,3.396695,0.032477
0.000002,3.539856,0.032477
0.000002,3.999785,0.032477
0.000002,3.557160,0.032477
0.000002,3.641311,0.032477
0.000002,3.823929,0.032477
0.000002,3.782342,0.032477
0.000002,3.824929,0.032477
0.000002,3.844843,0.032477
0.000002,3.959606,0.032477
0.000002,3.986281,0.032477
0.000002,4.027425,0.032477
0.000003,4.112792,0.032477
0.000002,4.182349,0.032477
0.000003,4.340113,0.032477
0.000003,4.402464,0.032477
0.000002,4.533070,0.032477
0.000002,4.693982,0.032477
0.000002,4.635015,0.032477
0.000003,4.616448,0.032477
0.000002,4.762420,0.032477
0.000003,5.060451,0.032477
0.000002,5.178430,0.032477
0.000002,4.946217,0.032477
0.000006,4.993087,0.032477
0.000003,5.058978,0.032477
0.000002,5.186022,0.032477
0.000002,5.224449,0.032477
0.000002,5.351695,0.032477
0.000002,5.402398,0.032477
0.000003,5.360344,0.032477
0.000003,5.350358,0.032477
0.000003,5.601638,0.032477
0.000003,6.020201,0.032477
0.000003,5.639243,0.032477
0.000003,5.660106,0.032477
0.000003,5.833682,0.032477
0.000003,6.558281,0.032477
0.000005,6.734179,0.032477
0.000003,7.251751,0.032477
0.000003,7.703801,0.032477
0.000003,8.032274,0.032477
0.000004,7.899119,0.032477
0.000007,8.665345,0.032477
0.000003,8.296862,0.032477
0.000005,8.258349,0.032477
0.000006,8.300120,0.032477
0.000003,8.454018,0.032477
0.000003,8.067442,0.032477
0.000004,12.622489,0.032477
0.000004,14.133697,0.032477
0.000021,11.009380,0.032477
